id,player_name,15-16_games,15-16_mins_played,15-16_goals,15-16_goals_per_90,15-16_npg,15-16_npg_per_90,15-16_xG,15-16_xG_per_90,15-16_npxG,15-16_npxG_per_90,15-16_assists,15-16_assists_per_90,15-16_xA,15-16_xA_per_90,15-16_xGChain,15-16_xGChain_per_90,15-16_xGBuildup,15-16_xGBuildup_per_90,15-16_shots,15-16_shots_per_90,15-16_key_passes,15-16_key_passes_per_90,15-16_yellow_cards,15-16_red_cards,15-16_team,15-16_league,15-16_transferred
1313,Riccardo Saponara,33,2649,5,0.1698754246885617,5,0.1698754246885617,7.370626800693572,0.2504176715977431,6.609327972866595,0.2245524792593407,11,0.3737259343148358,6.132142703980207,0.2083400692179006,14.387180931866167,0.4888056941743884,4.04603717289865,0.1374644566103731,70,2.3782559456398644,73,2.4801812004530013,6,1,Empoli,Serie_A,No
816,Rickie Lambert,19,604,1,0.1490066225165563,0,0.0,1.4416359439492226,0.2148133029063411,0.6804670765995979,0.1013941008178208,1,0.1490066225165563,0.9207852436229588,0.1372030992153415,1.3934171153232455,0.2076283781110796,0.2125765141099691,0.0316753083938695,14,2.0860927152317883,11,1.6390728476821192,2,0,West Bromwich Albion,EPL,No
1012,Ricky van Wolfswinkel,16,611,1,0.1472995090016366,1,0.1472995090016366,1.809101678431034,0.2664797889669281,1.809101678431034,0.2664797889669281,2,0.2945990180032733,1.486898049712181,0.2190193526580954,2.5422204211354256,0.3744678198071822,1.0926144234836102,0.160941568107242,14,2.062193126022913,7,1.0310965630114566,1,0,Real Betis,LaLiga,No
3681,Rincon,8,716,0,0.0,0,0.0,0.2524189203977585,0.0317286352455283,0.2524189203977585,0.0317286352455283,0,0.0,0.0577806271612644,0.007262927995131,1.033187672495842,0.1298699588332762,0.9754070471972228,0.1226070310722766,3,0.3770949720670391,2,0.2513966480446927,2,0,Troyes,Ligue1,No
3359,Rio Mavuba,35,2807,0,0.0,0,0.0,0.3381661968305707,0.0108425214516392,0.3381661968305707,0.0108425214516392,0,0.0,0.4187373407185077,0.013425849898349,5.270040149800479,0.1689717183762177,4.578960414975882,0.1468138358916385,11,0.3526897043106519,11,0.3526897043106519,5,0,Lille,Ligue1,No
955,Ritchie de Laet,12,655,1,0.1374045801526717,1,0.1374045801526717,0.1470789611339569,0.0202093229039024,0.1470789611339569,0.0202093229039024,0,0.0,0.3315960094332695,0.0455628104564797,1.140821736305952,0.1567541317061613,0.7576778158545494,0.1041084021784877,2,0.2748091603053435,6,0.8244274809160306,1,0,Leicester,EPL,No
750,Riyad Mahrez,37,3087,17,0.4956268221574344,13,0.3790087463556851,11.882148338481784,0.3464183189061744,7.315135253593326,0.2132692493758987,11,0.3206997084548105,11.45409781858325,0.3339387119120481,21.18506269901991,0.6176403119247788,7.174407683312893,0.2091664047613088,86,2.507288629737609,68,1.9825072886297377,1,0,Leicester,EPL,No
789,Robbie Brady,36,2996,3,0.0901201602136181,3,0.0901201602136181,2.7942690635100007,0.0839399918944926,2.7942690635100007,0.0839399918944926,2,0.0600801068090787,5.04878652561456,0.1516658168575802,6.695630925707519,0.2011371105853393,3.0419109743088484,0.0913791681200922,53,1.5921228304405874,54,1.622162883845127,3,0,Norwich,EPL,No
2119,Rober Correa,7,473,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.2479690089821815,0.0471822638655313,0.2479690089821815,0.0471822638655313,0,0.0,0,0.0,2,1,Espanyol,LaLiga,No
237,Robert Bauer,24,1676,1,0.0536992840095465,1,0.0536992840095465,0.1112236129119992,0.0059726283783293,0.1112236129119992,0.0059726283783293,0,0.0,0.3337357239797711,0.0179213694261213,2.6715465877205133,0.1434601389587388,2.308113966137171,0.1239440673940008,5,0.2684964200477326,6,0.3221957040572792,5,0,Ingolstadt,Bundesliga,No
3691,Robert Beric,10,670,3,0.4029850746268656,3,0.4029850746268656,3.550306595861912,0.4769068561605553,3.550306595861912,0.4769068561605553,0,0.0,0.262553496286273,0.035268380098156,3.547321140766144,0.4765058248790342,0.606861799955368,0.081518749247736,16,2.149253731343284,6,0.8059701492537313,1,0,Saint-Etienne,Ligue1,No
763,Robert Elliot,21,1890,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0229892637580633,0.001094726845622,1.729623925872147,0.0823630440891498,1.7066346677020192,0.0812683175096199,0,0.0,1,0.0476190476190476,1,0,Newcastle United,EPL,No
1869,Robert Gucher,24,1369,0,0.0,0,0.0,0.3286994323134422,0.0216091664778742,0.3286994323134422,0.0216091664778742,0,0.0,1.222020567394793,0.0803373638170426,1.2905302457511425,0.0848412871567588,0.7592311948537827,0.0499129346507234,21,1.3805697589481374,19,1.2490869247626004,3,0,Frosinone,Serie_A,No
747,Robert Huth,35,3150,3,0.0857142857142857,3,0.0857142857142857,3.4519019406288862,0.0986257697322539,3.4519019406288862,0.0986257697322539,0,0.0,0.6899090074002743,0.0197116859257221,4.601796388626099,0.1314798968178885,3.964780082926154,0.1132794309407472,28,0.8,2,0.0571428571428571,8,0,Leicester,EPL,No
2089,Robert Ibáñez,18,695,0,0.0,0,0.0,0.4179166574031114,0.0541187038363741,0.4179166574031114,0.0541187038363741,1,0.1294964028776978,0.719777075573802,0.0932085421606362,1.81161936186254,0.2345981907447893,0.880314914509654,0.1139976148285882,10,1.2949640287769786,8,1.0359712230215827,4,0,Granada,LaLiga,No
